Timestamp,PPG
186477.2567204,42907.0,84060.0
186477.2567447,42907.0,83996.0
186477.2567654,42879.0,83900.0
186477.2567777,42863.0,83624.0
186477.2568023,42886.0,83908.0
186477.2568145,42889.0,83984.0
186477.2568251,42891.0,84032.0
186477.2568393,42892.0,83932.0
186477.2568533,42870.0,83608.0
186477.2568643,42901.0,83932.0
186477.3446821,42907.0,84060.0
186477.3447005,42907.0,83996.0
186477.3447129,42892.0,83980.0
186477.3447307,42863.0,83624.0
186477.3447494,42865.0,83992.0
186477.3447658,42889.0,83984.0
186477.3447818,42891.0,84032.0
186477.3448232,42885.0,84012.0
186477.3448404,42870.0,83608.0
186477.3448543,42874.0,84024.0
186477.3915795,42885.0,84015.0
186477.3915927,42892.0,83947.0
186477.3916016,42901.0,84059.0
186477.3916097,42853.0,83599.0
186477.3916214,42851.0,84043.0
186477.3916362,42888.0,84051.0
186477.391645,42897.0,83967.0
186477.3916531,42893.0,83999.0
186477.3916609,42859.0,83599.0
186477.3916688,42843.0,83963.0
186477.4916006,42885.0,84015.0
186477.4916126,42892.0,83947.0
186477.4916202,42883.0,83859.0
186477.4916276,42853.0,83599.0
186477.4916355,42827.0,83847.0
186477.4916428,42888.0,84051.0
186477.4916501,42897.0,83967.0
186477.4916575,42867.0,83831.0
186477.4916647,42859.0,83599.0
186477.4916722,42827.0,83827.0
186477.5903891,42907.0,84060.0
186477.590401,42907.0,83996.0
186477.5904093,42870.0,83772.0
186477.5904169,42863.0,83624.0
186477.5904247,42847.0,83800.0
186477.590432,42889.0,83984.0
186477.5904394,42891.0,84032.0
186477.5904467,42867.0,83800.0
186477.590454,42870.0,83608.0
186477.590461,42841.0,83796.0
186477.6887796,42907.0,84060.0
186477.6887916,42907.0,83996.0
186477.6887993,42883.0,83816.0
186477.6888076,42863.0,83624.0
186477.688815,42852.0,83808.0
186477.688823,42889.0,83984.0
186477.6889004,42891.0,84032.0
186477.6889693,42859.0,83804.0
186477.6890172,42870.0,83608.0
186477.6891001,42861.0,83820.0
186477.7961737,42885.0,84015.0
186477.7961888,42892.0,83947.0
186477.7962116,42887.0,83879.0
186477.7962335,42853.0,83599.0
186477.796243,42870.0,83879.0
186477.7962655,42888.0,84051.0
186477.7963358,42897.0,83967.0
186477.7963713,42877.0,83875.0
186477.796383,42859.0,83599.0
186477.7963941,42877.0,83887.0
186477.9070616,42885.0,84015.0
186477.9070742,42892.0,83947.0
186477.9070823,42875.0,83947.0
186477.9070917,42853.0,83599.0
186477.9070991,42887.0,83943.0
186477.907107,42888.0,84051.0
186477.9071147,42897.0,83967.0
186477.9071225,42896.0,83951.0
186477.9071303,42859.0,83599.0
186477.9071381,42896.0,83971.0
186478.0089367,42907.0,84060.0
186478.0089551,42907.0,83996.0
186478.0089665,42899.0,84056.0
186478.0089786,42863.0,83624.0
186478.00899,42889.0,84076.0
186478.0090013,42889.0,83984.0
186478.0090248,42891.0,84032.0
186478.0090349,42902.0,84084.0
186478.0090447,42870.0,83608.0
186478.0090684,42907.0,84060.0
186478.1153762,42907.0,84060.0
186478.1154081,42907.0,83996.0
186478.1154212,42904.0,83912.0
186478.1154441,42863.0,83624.0
186478.11546,42888.0,83872.0
186478.1154773,42889.0,83984.0
186478.115499,42891.0,84032.0
186478.1155173,42885.0,83860.0
186478.1156413,42870.0,83608.0
186478.1156595,42872.0,83864.0
186478.2096176,42885.0,84015.0
186478.2096368,42892.0,83947.0
186478.2096496,42875.0,83767.0
186478.2096652,42853.0,83599.0
186478.209679,42877.0,83783.0
186478.2096969,42888.0,84051.0
186478.2097143,42897.0,83967.0
186478.2097309,42887.0,83759.0
186478.2097481,42859.0,83599.0
186478.2097649,42870.0,83783.0
186478.3117713,42885.0,84015.0
186478.3117836,42892.0,83947.0
186478.3117914,42866.0,83767.0
186478.3117987,42853.0,83599.0
186478.3118078,42864.0,83811.0
186478.3118187,42888.0,84051.0
186478.3118311,42897.0,83967.0
186478.311839,42873.0,83779.0
186478.3118464,42859.0,83599.0
186478.3118538,42872.0,83795.0
186478.4216865,42907.0,84060.0
186478.4217021,42907.0,83996.0
186478.421711,42856.0,83812.0
186478.4217212,42863.0,83624.0
186478.4217298,42880.0,83836.0
186478.4217384,42889.0,83984.0
186478.4217473,42891.0,84032.0
186478.4217561,42873.0,83832.0
186478.4217648,42870.0,83608.0
186478.4217747,42878.0,83852.0
186478.5251485,42907.0,84060.0
186478.525165,42907.0,83996.0
186478.5251753,42872.0,83872.0
186478.5251856,42863.0,83624.0
186478.5251979,42880.0,83904.0
186478.5252095,42889.0,83984.0
186478.5252207,42891.0,84032.0
186478.5252313,42880.0,83888.0
186478.5252417,42870.0,83608.0
