Timestamp,FP1,FP2,O1,O2,C3,CZ,FZ,C4
186477.225625,-87505.78125,-121185.171875,59597.3046875,-7487.96923828125,127165.0234375,86055.2890625,-196996.78125,78634.109375
186477.2258025,-86858.03125,-120525.34375,59463.328125,-7407.85986328125,127109.9453125,86004.7265625,-196516.40625,78604.0703125
186477.2259491,-86512.5625,-120103.7890625,59466.94921875,-7167.5341796875,127123.7109375,86007.3203125,-196213.9375,78585.46875
186477.226019,-86483.7734375,-119975.4921875,59720.41796875,-6412.22412109375,127208.296875,86082.515625,-196071.609375,78559.71875
186477.226054,-87620.9375,-121185.171875,59745.765625,-7190.421875,127220.09375,86126.59375,-197014.578125,78645.5546875
186477.2260952,-87534.5703125,-121276.8125,59579.19921875,-7556.6328125,127145.3515625,86046.2109375,-197156.921875,78629.8125
186477.2261351,-86901.2109375,-120616.984375,59419.87890625,-7476.52392578125,127084.375,85985.28125,-196694.328125,78588.328125
186477.2261694,-86555.7421875,-120213.7578125,59419.87890625,-7247.64306640625,127104.046875,85986.578125,-196391.859375,78569.734375
186477.2261979,-86526.953125,-120048.8046875,59691.44921875,-6469.44384765625,127206.328125,86076.03125,-196249.515625,78558.2890625
186477.2262225,-87692.9140625,-121313.46875,59716.796875,-7270.53076171875,127222.0625,86121.40625,-197228.078125,78651.2734375
186477.2262511,-87664.125,-121460.09375,59561.09765625,-7636.7421875,127157.1484375,86046.2109375,-197441.59375,78651.2734375
186477.2262805,-87045.15625,-120855.2578125,59409.015625,-7568.0771484375,127098.140625,85991.765625,-197014.578125,78626.953125
186477.2263162,-86742.875,-120507.015625,59401.7734375,-7339.19482421875,127115.84375,85996.953125,-196783.28125,78611.21875
186477.2263567,-86786.0546875,-120470.359375,59651.62109375,-6606.77294921875,127212.2265625,86086.40625,-196747.703125,78604.0703125
186477.2263874,-88095.9609375,-121936.6328125,59651.62109375,-7453.63623046875,127224.03125,86139.5546875,-197921.96875,78714.21875
186477.2264135,-88196.71875,-122303.203125,59459.70703125,-7865.6240234375,127145.3515625,86076.03125,-198331.1875,78738.53125
186477.2264415,-87534.5703125,-121753.3515625,59289.5234375,-7808.40283203125,127084.375,86012.5078125,-198010.9375,78698.484375
186477.2264698,-86714.0859375,-120891.9140625,59296.765625,-7476.52392578125,127135.515625,85990.46875,-197388.21875,78628.3828125
186477.2265002,-86397.40625,-120415.375,59604.546875,-6663.994140625,127271.234375,86077.328125,-196979.0,78589.765625
186477.2265262,-87419.4140625,-121460.09375,59651.62109375,-7430.748046875,127298.7734375,86121.40625,-197797.421875,78668.4375
186477.2265543,-87347.4453125,-121496.75,59510.40234375,-7762.626953125,127237.796875,86053.9921875,-197886.390625,78664.1484375
186477.2265849,-86771.6640625,-120873.5859375,59394.53125,-7693.9619140625,127188.625,86021.5859375,-197441.59375,78652.703125
186477.2266143,-86454.984375,-120470.359375,59394.53125,-7430.748046875,127204.359375,86018.9921875,-197156.921875,78625.5234375
186477.2266457,-86368.6171875,-120232.09375,59666.10546875,-6641.10595703125,127304.671875,86100.6640625,-196925.625,78595.484375
186477.2563064,-87448.203125,-121368.453125,59705.93359375,-7419.30419921875,127332.2109375,86146.0390625,-197797.421875,78675.59375
186477.3255695,-87296.34375,-121352.046875,59563.375,-7732.4970703125,127270.296875,86070.578125,-197844.453125,78657.0390625
186477.3256277,-86658.25,-120648.859375,59441.06640625,-7648.81201171875,127211.2890625,86023.90625,-197324.859375,78616.9375
186477.32566,-86302.5859375,-120172.859375,59451.2578125,-7369.86181640625,127226.0390625,86023.90625,-196954.984375,78584.0390625
186477.3256871,-86344.4296875,-120064.671875,59716.26171875,-6625.99609375,127321.2578125,86108.171875,-196822.890625,78560.390625
186477.3257347,-87484.640625,-121265.5,59757.03125,-7416.35400390625,127348.078125,86162.625,-197747.578125,78654.984375
186477.3257641,-87390.4921875,-121319.59375,59597.3515625,-7732.4970703125,127286.390625,86086.1328125,-197853.265625,78642.6484375
186477.3257934,-86794.234375,-120692.1328125,59475.04296875,-7630.21484375,127234.0859375,86043.3515625,-197395.3125,78615.9140625
186477.3258219,-86469.9609375,-120302.6796875,59488.6328125,-7351.26513671875,127251.5234375,86045.9453125,-197087.09375,78591.234375
186477.3258513,-86407.1953125,-120107.9453125,59753.6328125,-6607.39892578125,127348.078125,86123.7265625,-196884.53125,78565.53125
186477.3258815,-87505.5625,-121276.3203125,59774.01953125,-7407.05517578125,127357.46875,86153.546875,-197791.609375,78635.4453125
186477.3259137,-87327.7265625,-121222.2265625,59638.12109375,-7695.30322265625,127298.4609375,86079.6484375,-197800.421875,78621.0546875
186477.3259466,-86710.5546875,-120562.3125,59529.40234375,-7602.31982421875,127243.4765625,86038.171875,-197307.25,78590.2109375
186477.3259796,-86354.890625,-120107.9453125,59553.18359375,-7314.07177734375,127260.90625,86040.7578125,-196954.984375,78556.28125
186477.3260114,-86365.3515625,-119978.1328125,59807.9921875,-6570.2060546875,127349.421875,86112.0625,-196796.46875,78530.5703125
186477.3260402,-87526.484375,-121200.59375,59814.7890625,-7379.16015625,127362.8359375,86139.2890625,-197738.78125,78620.0234375
186477.3260716,-87390.4921875,-121222.2265625,59661.90234375,-7686.0048828125,127298.4609375,86056.3203125,-197809.234375,78609.7421875
186477.3260968,-86783.7734375,-120573.1328125,59553.18359375,-7593.02197265625,127252.859375,86018.71875,-197333.671875,78591.234375
186477.3262002,-86480.421875,-120194.4921875,59580.36328125,-7276.87890625,127279.6875,86023.90625,-197025.4375,78572.7265625
186477.3262407,-86469.9609375,-120053.859375,59845.36328125,-6551.60888671875,127370.8828125,86099.1015625,-196875.734375,78548.0546875
186477.3262616,-87631.0859375,-121319.59375,59855.55859375,-7360.56396484375,127377.5859375,86131.5078125,-197853.265625,78629.28125
186477.3262807,-87474.1796875,-121308.7734375,59702.671875,-7667.408203125,127306.5078125,86049.8359375,-197906.09375,78614.8828125
186477.3262978,-86877.921875,-120702.953125,59570.171875,-7583.72314453125,127248.8359375,86001.8671875,-197456.96875,78589.1796875
186477.326315,-86532.71875,-120281.0390625,59600.74609375,-7276.87890625,127277.0,86013.5390625,-197131.125,78572.7265625
186477.3263318,-86511.8046875,-120151.21875,59858.953125,-6551.60888671875,127360.1484375,86090.0234375,-196981.40625,78553.1953125
186477.3443235,-87631.0859375,-121352.046875,59869.1484375,-7369.86181640625,127365.515625,86118.546875,-197914.90625,78633.390625
186477.3750227,-87484.015625,-121373.6796875,59710.00390625,-7651.85107421875,127293.3203125,86029.2734375,-197994.5625,78609.2109375
186477.3751767,-86869.7890625,-120739.875,59595.5625,-7562.44482421875,127253.265625,85994.265625,-197517.5,78583.28125
186477.3752119,-86542.1953125,-120329.765625,59624.171875,-7258.4609375,127281.875,86005.1328125,-197206.359375,78552.8828125
186477.3752368,-86531.9609375,-120205.4921875,59895.96875,-6534.26416015625,127376.2890625,86087.203125,-197050.78125,78530.53125
186477.3753692,-87688.7578125,-121460.6796875,59910.2734375,-7338.9267578125,127386.3046875,86122.2109375,-198025.6875,78612.78125
186477.3754232,-87484.015625,-121423.390625,59750.05859375,-7616.0888671875,127317.640625,86038.9296875,-198046.421875,78594.90625
186477.3754568,-86849.3125,-120764.734375,59615.58984375,-7535.6220703125,127263.28125,85985.8203125,-197548.609375,78560.9296875
186477.3754864,-86511.484375,-120329.765625,59629.89453125,-7249.52001953125,127291.890625,85994.265625,-197216.734375,78537.6796875
186477.3755139,-86562.671875,-120255.203125,59890.24609375,-6534.26416015625,127382.0078125,86071.515625,-197113.015625,78527.84375
186477.3755392,-87688.7578125,-121473.1015625,59915.99609375,-7329.98583984375,127400.609375,86106.515625,-198056.796875,78625.3046875
186477.3755795,-87524.9609375,-121460.6796875,59770.0859375,-7607.14794921875,127340.5234375,86035.3046875,-198098.28125,78618.1484375
186477.3756323,-86920.96875,-120839.296875,59635.6171875,-7526.68212890625,127284.734375,85990.6484375,-197631.578125,78590.4296875
186477.3756979,-86572.9140625,-120416.7578125,59655.64453125,-7213.7568359375,127319.0703125,86001.5078125,-197299.703125,78569.8671875
186477.3757579,-86593.3828125,-120329.765625,59910.2734375,-6516.3828125,127404.8984375,86075.140625,-197175.25,78547.515625
186477.3757809,-87709.2265625,-121535.2421875,59921.71875,-7329.98583984375,127409.1875,86105.3125,-198119.015625,78627.0859375
186477.3758376,-87535.1953125,-121510.3828125,59764.36328125,-7607.14794921875,127344.8203125,86023.234375,-198160.515625,78605.6328125
186477.375888,-86910.734375,-120864.1484375,59638.4765625,-7535.6220703125,127299.0390625,85980.9921875,-197673.0625,78581.4921875
186477.3759341,-86583.1484375,-120466.46875,59664.2265625,-7222.6982421875,127327.6484375,85987.0234375,-197361.921875,78559.140625
186477.3759759,-86644.5703125,-120416.7578125,59938.88671875,-6516.3828125,127420.6328125,86076.34375,-197268.578125,78553.7734375
186477.375997,-87791.125,-121684.375,59956.05078125,-7321.0458984375,127434.9375,86111.34375,-198253.84375,78638.7109375
186477.3760822,-87565.90625,-121622.234375,59790.11328125,-7598.20703125,127361.984375,86023.234375,-198264.21875,78615.46875
186477.3761782,-86961.921875,-121013.28125,59644.19921875,-7553.50390625,127301.8984375,85968.921875,-197818.265625,78576.125
186477.3762595,-86593.3828125,-120565.890625,59661.3671875,-7231.63916015625,127324.7890625,85972.546875,-197465.640625,78543.9375
186477.37638,-86695.7578125,-120553.4609375,59938.88671875,-6543.205078125,127417.7734375,86065.484375,-197403.40625,78535.890625
186477.3913044,-87811.6015625,-121783.796875,59947.46875,-7365.7490234375,127426.359375,86104.1015625,-198367.9375,78614.5703125
186477.4775464,-87602.296875,-121754.421875,59784.5703125,-7637.009765625,127355.6796875,86020.1953125,-198399.9375,78586.140625
186477.4775728,-86956.5078125,-121090.9765625,59639.328125,-7569.06103515625,127294.8828125,85968.34375,-197913.125,78542.8203125
186477.4775894,-86633.6171875,-120700.71875,59662.26171875,-7237.80810546875,127317.6796875,85977.4140625,-197610.203125,78518.1875
186477.4776057,-86737.7734375,-120700.71875,59911.97265625,-6592.2890625,127410.3984375,86061.6796875,-197566.9375,78513.09375
186477.4776218,-87873.109375,-121962.5625,59919.6171875,-7407.68115234375,127422.5546875,86097.984375,-198540.578125,78595.484375
186477.4776373,-87591.8828125,-121845.484375,59761.63671875,-7645.50390625,127360.2421875,86025.3828125,-198508.125,78578.4921875
186477.4776531,-86987.7578125,-121221.0625,59618.94140625,-7603.03515625,127307.046875,85977.4140625,-198042.9375,78547.921875
186477.4776695,-86623.203125,-120765.7578125,59654.61328125,-7246.30078125,127338.9609375,85989.0859375,-197685.9375,78527.53125
186477.477686,-86758.609375,-120804.7890625,59914.5234375,-6583.7958984375,127431.6796875,86079.828125,-197664.296875,78518.1875
186477.4777166,-87841.8671875,-121988.578125,59917.0703125,-7399.18701171875,127442.3125,86112.2421875,-198594.671875,78601.4296875
186477.4777337,-87612.7109375,-121923.5390625,59761.63671875,-7620.02294921875,127384.5625,86037.046875,-198594.671875,78576.796875
186477.4777502,-86977.34375,-121273.1015625,59626.5859375,-7569.06103515625,127337.4375,85992.96875,-198107.84375,78542.8203125
186477.477767,-86612.7890625,-120817.796875,59662.26171875,-7212.3271484375,127357.203125,85994.265625,-197761.65625,78513.9453125
186477.4777846,-86748.1953125,-120843.8125,59924.71484375,-6566.80810546875,127448.3984375,86082.421875,-197718.390625,78517.34375
186477.4778018,-87873.109375,-122105.65625,59914.5234375,-7407.68115234375,127452.953125,86104.4609375,-198702.84375,78601.4296875
186477.4778184,-87571.046875,-121962.5625,59771.828125,-7611.52880859375,127393.6796875,86031.8671875,-198648.765625,78583.59375
186477.477835,-87008.59375,-121377.171875,59629.1328125,-7586.0478515625,127343.5234375,85985.1953125,-198216.03125,78551.3203125
186477.4778515,-86654.453125,-120947.8828125,59669.90234375,-7212.3271484375,127386.078125,86007.234375,-197869.84375,78517.34375
186477.4778683,-86841.9375,-121051.953125,59934.90625,-6566.80810546875,127484.875,86105.7578125,-197902.296875,78519.0390625
186477.4778849,-87935.609375,-122287.78125,59922.1640625,-7416.1748046875,127487.9140625,86132.984375,-198865.125,78596.3359375
186477.4779017,-87612.7109375,-122131.671875,59759.08984375,-7611.52880859375,127418.0,86050.015625,-198800.21875,78564.0546875
186477.4779187,-86977.34375,-121468.234375,59613.84765625,-7594.5419921875,127361.7578125,86003.34375,-198313.390625,78533.4765625
186477.4779361,-86612.7890625,-121012.9296875,59662.26171875,-7212.3271484375,127389.1171875,86015.0078125,-197945.578125,78504.6015625
186477.4779529,-86789.859375,-121077.96875,59922.1640625,-6575.3017578125,127472.7109375,86100.5703125,-197945.578125,78497.8046875
186477.4913667,-87935.609375,-122352.8203125,59914.5234375,-7416.1748046875,127474.234375,86121.3125,-198940.859375,78577.6484375
186477.5751198,-87605.296875,-122184.46875,59766.73046875,-7591.3681640625,127408.6953125,86041.96875,-198864.5,78554.3125
186477.5751759,-86981.0078125,-121550.6640625,59643.3515625,-7574.64892578125,127363.640625,86005.578125,-198381.15625,78535.625
186477.5752156,-86597.6796875,-121078.4140625,59686.265625,-7198.46923828125,127390.9921875,86022.1171875,-198007.265625,78518.640625
186477.5752508,-86783.8671875,-121165.40625,59954.484375,-6546.423828125,127477.8984375,86119.703125,-198025.5,78520.3359375
186477.575288,-87890.0546875,-122395.7421875,59935.7109375,-7424.1767578125,127473.0703125,86139.5546875,-198983.046875,78600.1796875
186477.5753476,-87539.578125,-122209.328125,59774.77734375,-7591.3681640625,127408.6953125,86051.890625,-198882.734375,78561.953125
186477.5753883,-86915.296875,-121550.6640625,59659.44140625,-7557.92919921875,127378.1171875,86023.7734375,-198390.28125,78543.2734375
186477.5754239,-86564.8203125,-121103.2734375,59705.0390625,-7165.02978515625,127423.1796875,86046.9296875,-198034.625,78512.6953125
186477.5754575,-86761.9609375,-121202.6953125,59970.578125,-6529.705078125,127516.5234375,86144.515625,-198052.859375,78509.296875
186477.5754831,-87901.0078125,-122470.3046875,59949.12109375,-7407.4580078125,127511.6953125,86164.3671875,-199037.765625,78587.4375
186477.5755142,-87484.8203125,-122209.328125,59806.96484375,-7557.92919921875,127450.5390625,86081.6640625,-198882.734375,78560.2578125
186477.5755434,-86871.484375,-121550.6640625,59654.078125,-7541.2099609375,127392.6015625,86028.734375,-198390.28125,78523.734375
186477.575582,-86521.0078125,-121090.84375,59702.359375,-7156.6708984375,127428.0078125,86048.5859375,-198016.390625,78499.1015625
186477.5756166,-86751.0078125,-121215.1171875,59965.21484375,-6538.06396484375,127513.3046875,86144.515625,-198061.984375,78499.1015625
186477.5756495,-87868.1484375,-122457.875,59954.484375,-7415.81689453125,127514.9140625,86172.6328125,-199019.53125,78581.4921875
186477.5756725,-87473.8671875,-122209.328125,59796.234375,-7557.92919921875,127455.3671875,86093.2421875,-198882.734375,78547.515625
186477.5756934,-86904.34375,-121612.8046875,59654.078125,-7541.2099609375,127408.6953125,86050.234375,-198435.875,78520.3359375
186477.5757214,-86575.7734375,-121202.6953125,59696.9921875,-7190.10888671875,127436.0546875,86065.125,-198098.453125,78492.3046875
186477.5757492,-86783.8671875,-121314.5390625,59981.30859375,-6529.705078125,127540.6640625,86172.6328125,-198125.8125,78499.1015625
186477.5757884,-87911.9609375,-122582.1484375,59967.8984375,-7424.1767578125,127539.0546875,86200.7578125,-199119.84375,78580.640625
186477.5758284,-87517.671875,-122346.03125,59815.01171875,-7566.2890625,127476.2890625,86116.3984375,-198983.046875,78542.421875
186477.5758656,-86915.296875,-121712.21875,59680.90234375,-7549.56982421875,127437.6640625,86078.359375,-198499.71875,78517.7890625
186477.5758976,-86608.6328125,-121326.96875,59715.76953125,-7165.02978515625,127469.8515625,86093.2421875,-198189.65625,78492.3046875
186477.5759276,-86783.8671875,-121401.53125,59983.9921875,-6529.705078125,127556.7578125,86189.1796875,-198189.65625,78493.15625
186477.5901472,-87901.0078125,-122656.71875,59962.53125,-7424.1767578125,127563.1953125,86210.6796875,-199165.4375,78580.640625
